#         t          x          y          z         vx         vy         vz
      8.190    335.755   -192.181     56.518    -78.908    -16.069    -52.084
      8.200    334.964   -192.340     55.997    -79.306    -15.841    -52.151
      8.210    334.169   -192.497     55.475    -79.704    -15.612    -52.218
      8.220    333.370   -192.652     54.953    -80.104    -15.381    -52.285
      8.230    332.567   -192.805     54.430    -80.505    -15.149    -52.351
      8.240    331.760   -192.955     53.906    -80.907    -14.916    -52.417
      8.250    330.949   -193.103     53.381    -81.310    -14.681    -52.483
      8.260    330.133   -193.249     52.856    -81.713    -14.445    -52.548
      8.270    329.314   -193.392     52.330    -82.118    -14.208    -52.613
      8.280    328.491   -193.533     51.804    -82.524    -13.969    -52.678
      8.290    327.664   -193.672     51.277    -82.931    -13.729    -52.742
      8.300    326.832   -193.808     50.749    -83.339    -13.487    -52.806
      8.310    325.997   -193.941     50.221    -83.748    -13.245    -52.870
      8.320    325.158   -194.073     49.692    -84.158    -13.000    -52.933
      8.330    324.314   -194.201     49.162    -84.569    -12.755    -52.996
      8.340    323.466   -194.328     48.632    -84.981    -12.507    -53.059
      8.350    322.614   -194.451     48.101    -85.394    -12.259    -53.121
      8.360    321.758   -194.573     47.569    -85.808    -12.009    -53.183
      8.370    320.898   -194.692     47.037    -86.224    -11.757    -53.245
      8.380    320.034   -194.808     46.504    -86.640    -11.504    -53.306
      8.390    319.165   -194.922     45.971    -87.058    -11.249    -53.367
      8.400    318.293   -195.033     45.437    -87.476    -10.993    -53.428
      8.410    317.416   -195.142     44.902    -87.896    -10.736    -53.488
      8.420    316.535   -195.248     44.367    -88.317    -10.476    -53.548
      8.430    315.649   -195.351     43.832    -88.739    -10.215    -53.607
      8.440    314.760   -195.452     43.295    -89.163     -9.953    -53.666
      8.450    313.866   -195.550     42.758    -89.587     -9.689    -53.725
      8.460    312.968   -195.646     42.221    -90.013     -9.423    -53.783
      8.470    312.066   -195.739     41.683    -90.440     -9.156    -53.841
      8.480    311.159   -195.829     41.144    -90.868     -8.887    -53.898
      8.490    310.249   -195.916     40.605    -91.297     -8.616    -53.955
      8.500    309.333   -196.001     40.065    -91.728     -8.344    -54.012
      8.510    308.414   -196.083     39.524    -92.159     -8.070    -54.068
      8.520    307.490   -196.163     38.983    -92.592     -7.794    -54.124
      8.530    306.562   -196.239     38.442    -93.027     -7.517    -54.179
      8.540    305.630   -196.313     37.900    -93.462     -7.237    -54.234
      8.550    304.693   -196.384     37.357    -93.899     -6.956    -54.288
      8.560    303.752   -196.452     36.814    -94.337     -6.673    -54.342
      8.570    302.806   -196.517     36.270    -94.777     -6.389    -54.396
      8.580    301.856   -196.580     35.726    -95.217     -6.102    -54.449
      8.590    300.902   -196.639     35.181    -95.660     -5.814    -54.502
      8.600    299.943   -196.696     34.636    -96.103     -5.524    -54.554
      8.610    298.980   -196.750     34.090    -96.548     -5.231    -54.605
      8.620    298.012   -196.801     33.544    -96.994     -4.937    -54.656
      8.630    297.040   -196.849     32.997    -97.441     -4.641    -54.707
      8.640    296.063   -196.893     32.450    -97.890     -4.343    -54.757
      8.650    295.082   -196.935     31.902    -98.341     -4.043    -54.807
      8.660    294.096   -196.974     31.354    -98.792     -3.741    -54.856
      8.670    293.106   -197.010     30.805    -99.245     -3.437    -54.904
      8.680    292.111   -197.043     30.256    -99.700     -3.131    -54.952
      8.690    291.112   -197.073     29.706   -100.156     -2.823    -55.000
      8.700    290.108   -197.099     29.156   -100.613     -2.513    -55.047
      8.710    289.100   -197.123     28.605   -101.072     -2.201    -55.093
      8.720    288.087   -197.143     28.054   -101.533     -1.886    -55.139
      8.730    287.069   -197.161     27.502   -101.995     -1.569    -55.184
      8.740    286.047   -197.175     26.950   -102.458     -1.250    -55.229
      8.750    285.020   -197.186     26.398   -102.923     -0.929    -55.273
      8.760    283.988   -197.193     25.845   -103.389     -0.606    -55.316
      8.770    282.952   -197.198     25.291   -103.857     -0.281    -55.359
      8.780    281.911   -197.199     24.737   -104.327      0.047    -55.402
      8.790    280.866   -197.197     24.183   -104.798      0.378    -55.443
      8.800    279.815   -197.191     23.629   -105.271      0.710    -55.484
      8.810    278.760   -197.183     23.074   -105.745      1.045    -55.524
      8.820    277.700   -197.171     22.518   -106.221      1.382    -55.564
      8.830    276.636   -197.155     21.962   -106.699      1.722    -55.603
      8.840    275.566   -197.136     21.406   -107.178      2.064    -55.641
      8.850    274.492   -197.114     20.849   -107.659      2.409    -55.679
      8.860    273.413   -197.088     20.292   -108.142      2.756    -55.716
      8.870    272.329   -197.059     19.735   -108.626      3.106    -55.752
      8.880    271.241   -197.026     19.177   -109.112      3.458    -55.788
      8.890    270.147   -196.989     18.619   -109.600      3.813    -55.823
      8.900    269.049   -196.949     18.061   -110.089      4.171    -55.857
      8.910    267.945   -196.906     17.502   -110.580      4.531    -55.890
      8.920    266.837   -196.859     16.943   -111.073      4.894    -55.922
      8.930    265.724   -196.808     16.384   -111.568      5.260    -55.954
      8.940    264.606   -196.754     15.824   -112.065      5.628    -55.985
      8.950    263.483   -196.696     15.264   -112.563      6.000    -56.015
      8.960    262.354   -196.634     14.704   -113.063      6.374    -56.044
      8.970    261.221   -196.568     14.143   -113.566      6.751    -56.073
      8.980    260.083   -196.499     13.582   -114.069      7.131    -56.100
      8.990    258.940   -196.425     13.021   -114.575      7.514    -56.127
      9.000    257.792   -196.348     12.460   -115.083      7.900    -56.153
      9.010    256.638   -196.267     11.898   -115.593      8.289    -56.178
      9.020    255.480   -196.183     11.336   -116.104      8.681    -56.202
      9.030    254.316   -196.094     10.774   -116.618      9.076    -56.225
      9.040    253.147   -196.001     10.212   -117.133      9.474    -56.247
      9.050    251.973   -195.904      9.649   -117.651      9.876    -56.268
      9.060    250.794   -195.803      9.086   -118.170     10.281    -56.288
      9.070    249.610   -195.699      8.523   -118.692     10.689    -56.307
      9.080    248.421   -195.590      7.960   -119.215     11.100    -56.326
      9.090    247.226   -195.477      7.397   -119.741     11.515    -56.343
      9.100    246.026   -195.359      6.833   -120.269     11.933    -56.359
      9.110    244.820   -195.238      6.270   -120.799     12.354    -56.374
      9.120    243.610   -195.112      5.706   -121.330     12.780    -56.388
      9.130    242.394   -194.982      5.142   -121.864     13.208    -56.401
      9.140    241.172   -194.848      4.578   -122.401     13.640    -56.412
      9.150    239.946   -194.709      4.014   -122.939     14.076    -56.423
      9.160    238.714   -194.567      3.450   -123.480     14.516    -56.432
      9.170    237.476   -194.419      2.885   -124.022     14.959    -56.440
      9.180    236.233   -194.267      2.321   -124.567     15.406    -56.447
      9.190    234.985   -194.111      1.756   -125.115     15.858    -56.453
      9.200    233.731   -193.950      1.192   -125.664     16.312    -56.457
      9.210    232.471   -193.785      0.627   -126.216     16.771    -56.460
      9.220    231.207   -193.615      0.063   -126.770     17.234    -56.461
      9.230    229.936   -193.440     -0.502   -127.326     17.701    -56.460
      9.240    228.660   -193.261     -1.067   -127.885     18.172    -56.458
      9.250    227.378   -193.077     -1.631   -128.446     18.648    -56.453
      9.260    226.091   -192.888     -2.196   -129.010     19.127    -56.448
      9.270    224.798   -192.694     -2.760   -129.576     19.611    -56.441
      9.280    223.500   -192.495     -3.325   -130.144     20.100    -56.432
      9.290    222.195   -192.292     -3.889   -130.715     20.593    -56.422
      9.300    220.885   -192.084     -4.453   -131.288     21.090    -56.410
      9.310    219.569   -191.870     -5.017   -131.864     21.592    -56.396
      9.320    218.248   -191.652     -5.581   -132.442     22.098    -56.381
      9.330    216.921   -191.428     -6.145   -133.023     22.609    -56.365
      9.340    215.587   -191.199     -6.708   -133.606     23.125    -56.346
      9.350    214.248   -190.966     -7.272   -134.192     23.646    -56.326
      9.360    212.904   -190.727     -7.835   -134.780     24.172    -56.304
      9.370    211.553   -190.482     -8.398   -135.371     24.703    -56.280
      9.380    210.196   -190.232     -8.960   -135.965     25.239    -56.255
      9.390    208.834   -189.977     -9.523   -136.561     25.780    -56.227
      9.400    207.465   -189.717    -10.085   -137.161     26.326    -56.198
      9.410    206.090   -189.451    -10.647   -137.762     26.878    -56.166
      9.420    204.710   -189.179    -11.208   -138.367     27.435    -56.133
      9.430    203.323   -188.902    -11.769   -138.974     27.998    -56.097
      9.440    201.930   -188.619    -12.330   -139.584     28.566    -56.060
      9.450    200.531   -188.331    -12.890   -140.197     29.140    -56.020
      9.460    199.126   -188.036    -13.450   -140.812     29.720    -55.978
      9.470    197.715   -187.736    -14.010   -141.431     30.305    -55.934
      9.480    196.298   -187.430    -14.569   -142.052     30.897    -55.888
      9.490    194.874   -187.118    -15.128   -142.676     31.495    -55.839
      9.500    193.444   -186.800    -15.686   -143.303     32.098    -55.788
      9.510    192.008   -186.476    -16.244   -143.933     32.708    -55.735
      9.520    190.565   -186.146    -16.801   -144.566     33.325    -55.678
      9.530    189.117   -185.810    -17.357   -145.202     33.948    -55.620
      9.540    187.661   -185.467    -17.913   -145.841     34.577    -55.559
      9.550    186.200   -185.118    -18.468   -146.482     35.213    -55.495
      9.560    184.732   -184.763    -19.023   -147.127     35.856    -55.428
      9.570    183.257   -184.401    -19.577   -147.775     36.506    -55.359
      9.580    181.776   -184.033    -20.130   -148.426     37.163    -55.286
      9.590    180.289   -183.658    -20.682   -149.080     37.828    -55.211
      9.600    178.795   -183.276    -21.234   -149.737     38.499    -55.133
      9.610    177.294   -182.888    -21.785   -150.397     39.178    -55.051
      9.620    175.787   -182.492    -22.335   -151.061     39.864    -54.967
      9.630    174.273   -182.090    -22.884   -151.727     40.559    -54.879
      9.640    172.752   -181.681    -23.433   -152.397     41.261    -54.788
      9.650    171.225   -181.265    -23.980   -153.070     41.971    -54.694
      9.660    169.691   -180.842    -24.527   -153.746     42.689    -54.596
      9.670    168.150   -180.411    -25.072   -154.425     43.415    -54.494
      9.680    166.602   -179.973    -25.617   -155.108     44.150    -54.389
      9.690    165.048   -179.528    -26.160   -155.793     44.893    -54.280
      9.700    163.486   -179.076    -26.702   -156.482     45.645    -54.168
      9.710    161.918   -178.615    -27.243   -157.175     46.406    -54.051
      9.720    160.343   -178.147    -27.783   -157.870     47.176    -53.930
      9.730    158.761   -177.672    -28.322   -158.569     47.955    -53.805
      9.740    157.171   -177.188    -28.859   -159.271     48.744    -53.676
      9.750    155.575   -176.697    -29.395   -159.977     49.542    -53.543
      9.760    153.972   -176.197    -29.930   -160.685     50.350    -53.405
      9.770    152.361   -175.690    -30.463   -161.398     51.168    -53.263
      9.780    150.744   -175.174    -30.995   -162.113     51.996    -53.116
      9.790    149.119   -174.650    -31.526   -162.832     52.835    -52.964
      9.800    147.487   -174.117    -32.054   -163.554     53.684    -52.807
      9.810    145.848   -173.576    -32.582   -164.279     54.544    -52.645
      9.820    144.202   -173.026    -33.107   -165.008     55.414    -52.477
      9.830    142.548   -172.468    -33.631   -165.740     56.296    -52.305
      9.840    140.887   -171.900    -34.153   -166.475     57.189    -52.127
      9.850    139.218   -171.324    -34.674   -167.213     58.094    -51.943
      9.860    137.542   -170.738    -35.192   -167.955     59.011    -51.753
      9.870    135.859   -170.144    -35.709   -168.700     59.940    -51.557
      9.880    134.168   -169.539    -36.223   -169.448     60.881    -51.356
      9.890    132.470   -168.926    -36.736   -170.200     61.835    -51.147
      9.900    130.764   -168.303    -37.246   -170.954     62.802    -50.933
      9.910    129.051   -167.670    -37.755   -171.712     63.782    -50.711
      9.920    127.330   -167.027    -38.260   -172.473     64.775    -50.483
      9.930    125.602   -166.374    -38.764   -173.237     65.782    -50.248
      9.940    123.865   -165.711    -39.265   -174.004     66.803    -50.005
      9.950    122.122   -165.038    -39.764   -174.774     67.838    -49.755
      9.960    120.370   -164.354    -40.260   -175.547     68.888    -49.497
      9.970    118.611   -163.660    -40.754   -176.323     69.953    -49.231
      9.980    116.843   -162.955    -41.245   -177.101     71.033    -48.957
      9.990    115.069   -162.240    -41.733   -177.882     72.128    -48.674
     10.000    113.286   -161.513    -42.218   -178.666     73.240    -48.383
     10.010    111.495   -160.775    -42.701   -179.453     74.367    -48.082
