#   T (Gyrs)         Lx         Ly         Lz
      0.000     -1.580     -1.524     -0.437
      0.014     -1.054     -1.801     -1.082
      0.029      0.008     -1.981     -1.333
      0.043      1.053     -1.288     -0.968
      0.057      0.830      0.249     -0.421
      0.071      0.123      0.809      0.076
      0.086     -0.692      0.308      0.535
      0.100     -1.743     -1.297      0.741
      0.114     -2.449     -2.696     -1.073
      0.129     -0.825     -1.912     -0.729
      0.143      0.092     -1.074     -0.264
      0.157      0.779      0.921     -0.079
      0.171      0.132      1.254      1.258
      0.186     -1.092     -0.374      0.654
      0.200     -1.315     -0.770     -0.055
      0.214     -1.103     -1.319     -0.562
      0.229     -0.608     -1.996     -0.952
      0.243      0.436     -2.483     -1.367
      0.257      1.065     -0.152     -0.993
      0.271      0.596      0.642     -0.208
      0.286     -0.003      0.420      0.289
      0.300     -0.664     -0.220      0.560
      0.314     -1.409     -1.095      0.529
      0.329     -2.133     -2.078     -0.136
      0.343     -1.440     -2.293     -1.074
      0.357     -0.366     -1.925     -0.898
      0.371      0.239     -1.279     -0.590
      0.386      0.528     -0.221     -0.239
      0.400      0.413      1.419      0.337
      0.414     -0.880      0.065      1.459
      0.429     -0.669     -0.146      0.204
      0.443     -0.541     -0.812     -0.568
      0.457     -0.207     -2.540     -1.154
      0.471      0.990     -0.784     -1.344
      0.486      0.563      0.298     -0.341
      0.500      0.067      0.131      0.202
      0.514     -0.519     -0.288      0.546
      0.529     -1.323     -0.805      0.649
      0.543     -2.224     -1.431      0.088
      0.557     -1.479     -2.105     -0.647
      0.571     -0.553     -2.101     -0.822
      0.586      0.192     -1.610     -0.741
      0.600      0.691     -0.597     -0.509
      0.614      0.811      0.863     -0.019
      0.629     -0.124      1.713      0.893
      0.643     -0.723     -0.314      0.747
      0.657     -0.873     -1.120      0.189
      0.671     -0.899     -1.491     -0.420
      0.686     -0.588     -1.750     -1.183
      0.700      1.748     -1.961     -1.380
      0.714      0.214     -0.564     -0.733
      0.729     -0.441     -0.335     -0.158
      0.743     -0.845     -0.502      0.609
      0.757     -2.317     -0.978      0.741
      0.771     -1.291     -1.673     -0.422
      0.786     -0.441     -1.666     -0.606
      0.800      0.251     -1.319     -0.612
      0.814      0.853     -0.477     -0.534
      0.829      1.183      1.210     -0.197
      0.843      0.349      1.157      0.473
      0.857     -0.352      0.041      0.588
      0.871     -0.793     -0.908      0.392
      0.886     -1.071     -1.600     -0.039
      0.900     -1.076     -2.054     -0.734
      0.914     -0.140     -1.792     -1.637
      0.929      0.699     -1.158     -0.870
      0.943      0.481     -0.646     -0.309
      0.957      0.073     -0.082      0.071
      0.971     -0.584      0.534      0.448
      0.986     -1.980     -0.730      1.308
      1.000     -1.282     -0.817      0.105
      1.014     -0.528     -0.466     -0.350
      1.029      0.246     -0.729     -0.546
      1.043      1.407     -0.977     -0.770
      1.057      0.975      1.405     -0.012
      1.071     -0.046      0.700      0.307
      1.086     -0.557     -0.234      0.318
      1.100     -0.913     -1.134      0.172
      1.114     -1.210     -1.951     -0.209
      1.129     -1.211     -2.225     -1.030
      1.143     -0.192     -1.381     -1.208
      1.157      0.425     -0.815     -0.773
      1.171      0.640     -0.378     -0.295
      1.186      0.539      0.069      0.188
      1.200     -0.053      0.617      0.611
      1.214     -1.456      0.668      0.689
      1.229     -1.521     -0.830      0.068
      1.243     -0.864     -1.420     -0.231
      1.257     -0.275     -1.560     -0.422
      1.271      0.327     -1.150     -0.631
      1.286      1.044      0.322     -0.850
      1.300      1.123      0.915      0.141
      1.314      0.236     -0.355     -0.031
      1.329     -0.605     -0.606     -0.214
      1.343     -1.545     -1.059     -0.315
      1.357     -1.076     -3.362     -0.792
      1.371     -0.064     -1.464     -0.837
      1.386      0.174     -0.325     -0.630
      1.400      0.274      0.423     -0.316
      1.414      0.275      0.801      0.140
      1.429     -0.046      0.695      0.796
      1.443     -0.961     -0.405      0.755
      1.457     -1.261     -0.906      0.117
      1.471     -1.116     -1.056     -0.404
      1.486     -0.720     -1.083     -0.778
      1.500     -0.080     -1.085     -0.953
      1.514      0.816     -0.844     -0.819
      1.529      1.384     -0.015     -0.106
      1.543      0.453      0.564      0.133
      1.557     -0.267      0.512      0.122
      1.571     -0.845      0.110      0.027
      1.586     -1.263     -0.882     -0.112
      1.600     -1.314     -3.007     -0.551
      1.614     -0.251     -1.756     -0.984
      1.629     -0.310     -0.451     -0.563
      1.643     -0.215      0.083     -0.084
      1.657      0.093      0.415      0.563
      1.671     -1.067      1.423      0.734
      1.686     -0.961     -0.419      0.162
      1.700     -0.639     -1.262     -0.156
      1.714     -0.313     -1.631     -0.523
      1.729      0.111     -1.391     -1.015
      1.743      0.867      0.373     -0.950
      1.757      0.591      0.610     -0.041
      1.771      0.015      0.129      0.319
      1.786     -0.566     -0.355      0.373
      1.800     -1.101     -0.762      0.193
      1.814     -1.482     -1.179     -0.215
      1.829     -1.277     -1.629     -0.777
      1.843     -0.415     -1.720     -0.844
      1.857      0.212     -1.288     -0.658
      1.871      0.532     -0.550     -0.370
      1.886      0.496      0.401     -0.030
      1.900     -0.112      1.258      0.366
      1.914     -1.195      0.576      0.511
      1.929     -1.059     -0.887      0.189
      1.943     -0.739     -1.446     -0.145
      1.957     -0.414     -1.471     -0.506
      1.971      0.059     -1.005     -0.890
      1.986      1.513      0.788     -0.675
      2.000      0.443     -0.305     -0.196
      2.014     -0.319     -0.467     -0.206
      2.029     -1.052     -0.557     -0.139
      2.043     -2.004     -1.912      0.263
      2.057     -0.889     -2.044     -0.532
      2.071     -0.401     -0.929     -0.611
      2.086     -0.010     -0.216     -0.494
      2.100      0.359      0.269     -0.228
      2.114      0.613      0.611      0.331
      2.129     -0.524      0.268      0.624
      2.143     -1.159     -0.379      0.160
      2.157     -1.138     -0.932     -0.281
      2.171     -0.780     -1.431     -0.562
      2.186     -0.219     -1.715     -0.693
      2.200      0.466     -1.449     -0.626
      2.214      0.619     -0.216     -0.383
      2.229      0.303      0.647     -0.090
      2.243     -0.256      0.820      0.163
      2.257     -0.851      0.174      0.308
      2.271     -1.240     -1.188      0.207
      2.286     -1.115     -2.348     -0.214
      2.300     -0.678     -1.762     -0.556
      2.314     -0.307     -1.002     -0.614
      2.329      0.026     -0.330     -0.516
      2.343      0.359      0.221     -0.240
      2.357      0.465      0.700      0.437
      2.371     -0.700      0.209      0.476
      2.386     -0.646     -0.185     -0.022
      2.400     -0.460     -0.767     -0.323
      2.414     -0.183     -1.674     -0.590
      2.429      0.359     -1.688     -1.293
      2.443      0.236     -0.500     -0.496
      2.457      0.034     -0.542     -0.123
      2.471     -0.259     -0.466      0.129
      2.486     -0.777     -0.198      0.316
      2.500     -1.669     -0.712      0.061
      2.514     -0.899     -1.946     -0.448
      2.529     -0.223     -1.800     -0.494
      2.543      0.172     -1.113     -0.438
      2.557      0.329     -0.198     -0.320
      2.571      0.233      0.703     -0.106
      2.586     -0.147      0.730      0.216
      2.600     -0.690     -0.205      0.392
      2.614     -1.074     -1.516      0.163
      2.629     -0.961     -1.939     -0.353
      2.643     -0.551     -1.363     -0.636
      2.657     -0.121     -0.864     -0.551
      2.671      0.182     -0.551     -0.340
      2.686      0.333     -0.208     -0.058
      2.700      0.100      0.366      0.329
      2.714     -1.172      0.465      0.369
      2.729     -0.860     -0.669     -0.000
      2.743     -0.476     -1.133     -0.156
      2.757     -0.087     -1.419     -0.293
      2.771      0.362     -1.057     -0.565
      2.786      0.546      0.703     -0.465
      2.800      0.158     -0.453     -0.114
      2.814     -0.217     -0.999      0.041
      2.829     -0.748     -1.066      0.070
      2.843     -1.567     -0.941     -0.253
      2.857     -0.485     -1.681     -0.554
      2.871      0.020     -1.483     -0.311
      2.886      0.223     -0.873     -0.119
      2.900      0.152      0.070      0.016
      2.914     -0.302      1.025      0.144
      2.929     -1.091     -0.204      0.171
      2.943     -0.779     -1.993     -0.035
      2.957     -0.343     -1.873     -0.246
      2.971     -0.101     -1.111     -0.352
      2.986      0.078     -0.172     -0.366
      3.000      0.217      1.050     -0.133
      3.014     -0.058     -0.286      0.501
      3.029     -0.379     -0.850      0.135
      3.043     -0.482     -0.842     -0.154
      3.057     -0.508     -0.777     -0.465
      3.071      0.104     -1.676     -0.748
      3.086      0.267     -1.311     -0.209
      3.100     -0.102     -0.522     -0.129
      3.114     -0.456      0.062     -0.061
      3.129     -1.011      0.274      0.128
      3.143     -0.714     -2.273      0.021
      3.157     -0.333     -1.707     -0.245
      3.171     -0.152     -0.916     -0.321
      3.186     -0.003     -0.029     -0.316
      3.200      0.147      0.732     -0.109
      3.214     -0.030     -0.054      0.311
      3.229     -0.611     -1.231      0.213
      3.243     -0.662     -1.089     -0.104
      3.257     -0.495     -0.788     -0.311
      3.271     -0.152     -0.629     -0.389
      3.286      0.402     -0.753     -0.280
      3.300      0.342     -0.300      0.146
      3.314     -0.159     -0.189     -0.014
      3.329     -0.457     -0.356     -0.154
      3.343     -0.675     -1.115     -0.269
      3.357     -0.346     -3.422     -0.158
      3.371     -0.247     -1.415     -0.196
      3.386     -0.227     -0.462     -0.174
      3.400     -0.157      0.510     -0.102
      3.414     -0.018      0.283      0.264
