#   T (Gyrs)         Lx         Ly         Lz
      0.000      0.002     -0.036     -0.674
      0.014      0.136     -0.049     -0.665
      0.029      0.270     -0.050     -0.656
      0.043      0.407     -0.044     -0.647
      0.057      0.545     -0.033     -0.637
      0.071      0.683     -0.020     -0.629
      0.086      0.827     -0.009     -0.620
      0.100      0.973     -0.019     -0.609
      0.114      1.123     -0.030     -0.599
      0.129      1.275     -0.037     -0.583
      0.143      1.427     -0.039     -0.565
      0.157      1.586     -0.035     -0.548
      0.171      1.745     -0.023     -0.531
      0.186      1.909     -0.007     -0.513
      0.200      2.073      0.002     -0.495
      0.214      2.241      0.004     -0.472
      0.229      2.399      0.002     -0.452
      0.243      2.550      0.001     -0.431
      0.257      2.692     -0.000     -0.409
      0.271      2.813      0.003     -0.387
      0.286      2.897      0.010     -0.365
      0.300      2.931      0.017     -0.339
      0.314      2.891      0.022     -0.317
      0.329      2.757      0.025     -0.292
      0.343      2.510      0.026     -0.269
      0.357      2.143      0.023     -0.251
      0.371      1.691      0.019     -0.244
      0.386      1.203      0.019     -0.240
      0.400      0.713      0.036     -0.242
      0.414      0.243      0.065     -0.250
      0.429     -0.181      0.084     -0.259
      0.443     -0.547      0.093     -0.262
      0.457     -0.838      0.093     -0.254
      0.471     -1.081      0.086     -0.250
      0.486     -1.279      0.071     -0.252
      0.500     -1.446      0.049     -0.251
      0.514     -1.590      0.022     -0.253
      0.529     -1.712      0.005     -0.254
      0.543     -1.815     -0.000     -0.255
      0.557     -1.900      0.000     -0.261
      0.571     -1.975      0.003     -0.263
      0.586     -2.036      0.006     -0.266
      0.600     -2.085      0.008     -0.272
      0.614     -2.126      0.009     -0.278
      0.629     -2.158      0.008     -0.284
      0.643     -2.183      0.004     -0.291
      0.657     -2.202     -0.000     -0.298
      0.671     -2.212     -0.003     -0.305
      0.686     -2.215     -0.004     -0.313
      0.700     -2.214     -0.004     -0.322
      0.714     -2.208     -0.004     -0.327
      0.729     -2.197     -0.005     -0.337
      0.743     -2.183     -0.007     -0.345
      0.757     -2.164     -0.012     -0.355
      0.771     -2.140     -0.027     -0.367
      0.786     -2.111     -0.048     -0.379
      0.800     -2.077     -0.067     -0.391
      0.814     -2.039     -0.083     -0.404
      0.829     -1.993     -0.095     -0.420
      0.843     -1.947     -0.104     -0.434
      0.857     -1.894     -0.107     -0.451
      0.871     -1.836     -0.104     -0.467
      0.886     -1.775     -0.095     -0.485
      0.900     -1.711     -0.077     -0.502
      0.914     -1.643     -0.058     -0.521
      0.929     -1.569     -0.066     -0.540
      0.943     -1.491     -0.086     -0.560
      0.957     -1.405     -0.109     -0.583
      0.971     -1.312     -0.132     -0.602
      0.986     -1.210     -0.155     -0.621
      1.000     -1.094     -0.175     -0.642
      1.014     -0.961     -0.190     -0.662
      1.029     -0.810     -0.195     -0.680
      1.043     -0.636     -0.181     -0.703
      1.057     -0.424     -0.145     -0.722
      1.071     -0.174     -0.110     -0.741
      1.086      0.135     -0.088     -0.761
      1.100      0.510     -0.079     -0.776
      1.114      0.952     -0.080     -0.777
      1.129      1.459     -0.090     -0.763
      1.143      1.880     -0.106     -0.804
      1.157      2.173     -0.125     -0.847
      1.171      2.341     -0.149     -0.867
      1.186      2.415     -0.165     -0.868
      1.200      2.427     -0.161     -0.865
      1.214      2.401     -0.146     -0.854
      1.229      2.342     -0.127     -0.840
      1.243      2.266     -0.107     -0.824
      1.257      2.179     -0.089     -0.810
      1.271      2.086     -0.073     -0.795
      1.286      1.984     -0.060     -0.780
      1.300      1.877     -0.054     -0.761
      1.314      1.769     -0.058     -0.745
      1.329      1.658     -0.062     -0.729
      1.343      1.542     -0.063     -0.712
      1.357      1.424     -0.059     -0.699
      1.371      1.308     -0.053     -0.684
      1.386      1.192     -0.045     -0.667
      1.400      1.073     -0.036     -0.651
      1.414      0.954     -0.026     -0.636
      1.429      0.834     -0.016     -0.621
      1.443      0.712     -0.011     -0.606
      1.457      0.588     -0.007     -0.591
      1.471      0.463     -0.005     -0.576
      1.486      0.337     -0.002     -0.561
      1.500      0.210      0.002     -0.546
      1.514      0.082      0.006     -0.531
      1.529     -0.049      0.011     -0.518
      1.543     -0.179      0.015     -0.504
      1.557     -0.310      0.018     -0.491
      1.571     -0.441      0.019     -0.475
      1.586     -0.571      0.020     -0.463
      1.600     -0.704      0.021     -0.451
      1.614     -0.838      0.023     -0.439
      1.629     -0.978      0.026     -0.427
      1.643     -1.120      0.030     -0.412
      1.657     -1.264      0.036     -0.399
      1.671     -1.409      0.045     -0.386
      1.686     -1.552      0.055     -0.372
      1.700     -1.698      0.062     -0.359
      1.714     -1.847      0.068     -0.347
      1.729     -1.999      0.071     -0.334
      1.743     -2.154      0.073     -0.321
      1.757     -2.315      0.073     -0.309
      1.771     -2.480      0.071     -0.296
      1.786     -2.646      0.068     -0.284
      1.800     -2.821      0.063     -0.270
      1.814     -3.004      0.060     -0.255
      1.829     -3.190      0.060     -0.241
      1.843     -3.387      0.061     -0.228
      1.857     -3.597      0.061     -0.217
      1.871     -3.823      0.058     -0.208
      1.886     -4.061      0.049     -0.200
      1.900     -4.268      0.028     -0.180
      1.914     -4.436     -0.003     -0.159
      1.929     -4.556     -0.041     -0.139
      1.943     -4.609     -0.079     -0.123
      1.957     -4.547     -0.117     -0.121
      1.971     -4.359     -0.155     -0.137
      1.986     -4.056     -0.191     -0.166
      2.000     -3.701     -0.226     -0.197
      2.014     -3.342     -0.267     -0.227
      2.029     -3.009     -0.316     -0.258
      2.043     -2.707     -0.371     -0.291
      2.057     -2.436     -0.413     -0.318
      2.071     -2.195     -0.426     -0.346
      2.086     -1.981     -0.421     -0.372
      2.100     -1.795     -0.409     -0.396
      2.114     -1.629     -0.392     -0.417
      2.129     -1.478     -0.375     -0.435
      2.143     -1.343     -0.359     -0.452
      2.157     -1.223     -0.351     -0.469
      2.171     -1.115     -0.364     -0.484
      2.186     -1.014     -0.390     -0.498
      2.200     -0.920     -0.413     -0.511
      2.214     -0.834     -0.426     -0.523
      2.229     -0.752     -0.431     -0.532
      2.243     -0.674     -0.427     -0.542
      2.257     -0.602     -0.414     -0.550
      2.271     -0.536     -0.394     -0.558
      2.286     -0.474     -0.367     -0.566
      2.300     -0.416     -0.334     -0.572
      2.314     -0.362     -0.305     -0.577
      2.329     -0.309     -0.289     -0.581
      2.343     -0.257     -0.280     -0.584
      2.357     -0.208     -0.275     -0.587
      2.371     -0.161     -0.271     -0.589
      2.386     -0.116     -0.269     -0.593
      2.400     -0.074     -0.267     -0.595
      2.414     -0.032     -0.265     -0.596
      2.429      0.009     -0.261     -0.596
      2.443      0.049     -0.251     -0.596
      2.457      0.088     -0.234     -0.595
      2.471      0.126     -0.215     -0.594
      2.486      0.163     -0.194     -0.592
      2.500      0.198     -0.174     -0.591
      2.514      0.234     -0.154     -0.588
      2.529      0.268     -0.134     -0.585
      2.543      0.302     -0.115     -0.582
      2.557      0.335     -0.096     -0.578
      2.571      0.366     -0.076     -0.574
      2.586      0.397     -0.055     -0.567
      2.600      0.424     -0.030     -0.560
      2.614      0.450      0.001     -0.552
      2.629      0.474      0.037     -0.544
      2.643      0.495      0.077     -0.535
      2.657      0.514      0.120     -0.527
      2.671      0.528      0.165     -0.518
      2.686      0.531      0.209     -0.506
      2.700      0.524      0.253     -0.492
      2.714      0.503      0.295     -0.474
      2.729      0.461      0.345     -0.454
      2.743      0.394      0.410     -0.431
      2.757      0.291      0.489     -0.405
      2.771      0.137      0.577     -0.371
      2.786     -0.082      0.668     -0.329
      2.800     -0.379      0.748     -0.280
